activity_type,event_type,category,occurred_at,ended_at,amount,currency,vehicle_id,vehicle_name,title,description,energy_kwh,fuel_liters,odometer_km,source,battery_level_start,battery_level_end,place_name,latitude,longitude
session,fueling,,2019-01-04,,13829,HUF,,Babzsi,,Shell,,40.33,180196,Shell,,,,,
session,fueling,,2019-01-23,,14080,HUF,,Babzsi,,Shell,,40.47,180717,Shell,,,,,
session,fueling,,2019-02-15,,14966,HUF,,Babzsi,,Shell,,42.53,181254,Shell,,,,,
session,fueling,,2019-03-03,,15052,HUF,,Babzsi,,Mol,,41.25,181933,Mol,,,,,
session,fueling,,2019-04-12,,17110,HUF,,Babzsi,,Mol,,43,182539,Mol,,,,,
session,fueling,,2019-04-30,,16414,HUF,,Babzsi,,Mol,,40.74,183279,Mol,,,,,
session,fueling,,2019-05-17,,13488,HUF,,Babzsi,,Mol,,33.23,183888,Mol,,,,,
session,fueling,,2019-06-02,,16632,HUF,,Babzsi,,Shell Rakamaz,,40.28,184623,Shell,,,,,
session,fueling,,2019-06-21,,16332,HUF,,Babzsi,,Shell,,43.68,185299,Shell,,,,,
session,fueling,,2019-07-05,,16227,HUF,,Babzsi,,Shell Lidl,,42.05,186128,Shell,,,,,
session,fueling,,2019-08-12,,16130,HUF,,Babzsi,,Shell Lidl,,41.69,187468,Shell,,,,,
session,fueling,,2019-08-26,,13063,HUF,,Babzsi,,Shell Lidl,,35.03,188080,Shell,,,,,
session,fueling,,2019-09-16,,16292,HUF,,Babzsi,,Shell,,42.55,188746,Shell,,,,,
session,fueling,,2019-10-06,,15131,HUF,,Babzsi,,Patak tank,,39.3,189420,Patak tank,,,,,
session,fueling,,2019-10-26,,14879,HUF,,Babzsi,,Shell,,38.96,190066,Shell,,,,,
session,fueling,,2019-11-16,,17975,HUF,,Babzsi,,Shell,,46.22,190737,Shell,,,,,
session,fueling,,2019-12-04,,15979,HUF,,Babzsi,,Shell Lidl,,41.3,191463,Shell,,,,,
session,fueling,,2019-12-22,,15559,HUF,,Babzsi,,Shell Lidl,,40.11,192135,Shell,,,,,
session,fueling,,2020-01-04,,14649,HUF,,Babzsi,,Patak tank,,37.37,192710,Patak tank,,,,,
