sorszám,Id?pont,napok,Liter,Km állás,Trip km,ár/l,végösszeg,fogyasztás,kút,Ft/KM,Ft/KM Check,2019-ben benzinre költött:,"HUF 1,510,478"
1,1/4/2019,19,40.33,180196,,342.9,13829,,Shell,,, megtett km:,61078 km
2,1/23/2019,23,40.47,180717,521,347.9,14080,7.768,Shell,27.02401727,27.02495202,,
3,2/15/2019,16,42.53,181254,537,351.9,14966,7.920,Shell,27.87021788,27.86964618,,
4,3/3/2019,40,41.25,181933,679,364.9,15052,6.075,Mol,22.16807806,22.16789396,,
5,4/12/2019,18,43,182539,606,397,17110,7.096,Mol,28.169967,28.23432343,,
6,4/30/2019,17,40.74,183279,740,402.9,16414,5.505,Mol,22.18127838,22.18108108,,
7,5/17/2019,16,33.23,183888,608,405.9,13488,5.465,Mol,22.18430,22.18421053,,
8,6/2/2019,19,40.28,184623,743,412.9,16632,5.421,Shell Rakamaz,22.38440,22.38492598,,
9,6/21/2019,14,43.68,185299,677,373.9,16332,6.452,Shell,24.12400591,24.12407681,,
10,7/5/2019,38,42.05,186128,829,385.9,16227,5.072,Shell Lidl,19.57430,19.57418577,,
11,8/12/2019,14,41.69,187468,696,386.9,16130,5.990,Shell Lidl,23.17509,23.17528736,,
12,8/26/2019,21,35.03,188080,612,372.9,13063,5.724,Shell Lidl,21.34426,21.34477124,,
13,9/16/2019,20,42.55,188746,666,382.9,16292,6.389,Shell,24.46306,24.46246246,,
14,10/6/2019,20,39.3,189420,674,385,15131,5.831,Patak tank,22.44881,22.44955490,,
15,10/26/2019,21,38.96,190066,645,381.9,14879,6.040,Shell,23.06794,23.06821705,,
16,11/16/2019,18,46.22,190737,671,388.9,17975,6.888,Shell,26.78831,26.78837556,,
17,12/4/2019,18,41.3,191463,726,386.9,15979,5.689,Shell Lidl,22.00960,22.00964187,,
18,12/22/2019,13,40.11,192135,671,387.9,15559,5.978,Shell Lidl,23.18729,23.18777943,,
19,1/4/2020,19,37.37,192710,575,392,14649,6.499,Patak tank,25.47659,25.47652174,,
20,1/23/2020,16,38.95,193287,573,396.9,15459,6.798,Shell Lidl,26.97950,26.97905759,,
21,2/8/2020,8,20,193895,608,379.9,7598,5.917,MOL Téglás,22.47929,12.49671053,,
22,2/16/2020,7,20,194233,338,381,7638,5.917,Shell,22.54438,22.59763314,,
23,2/23/2020,14,20,194580,347,380.9,7618,5.764,Shell Lidl,21.95389,21.95389049,,
24,3/8/2020,23,25,194870,289,362.9,9050,8.651,Patak tank,31.39273,31.31487889,,
25,3/31/2020,31,25,195241,371,299.9,7498,6.739,Shell Lidl,20.20889,20.21024259,,
26,5/1/2020,14,25.1,195529,287,278.9,7000,8.746,Shell Lidl,24.39160,24.39024390,,
27,5/15/2020,10,29.23,195998,468,307.9,9000,6.246,Shell Lidl,19.23059,19.23076923,,
28,5/25/2020,11,29.7,196572,574,319.9,9501,5.174,Shell Lidl,16.55232,16.55226481,,
29,6/5/2020,12,25,196990,418,330.9,8273,5.981,Shell Lidl,19.79067,19.79186603,,
30,6/17/2020,11,29.6,197449,459,337.9,9712,6.449,Shell Lidl,21.79050,21.15904139,,
31,6/28/2020,12,25.25,198019,570,353.9,9998,4.430,Shell Lidl,15.67715,17.54035088,,
32,7/10/2020,10,30,198046,387,361.9,10857,7.752,Shell Lidl,28.05426,28.05426357,,
33,7/20/2020,11,30,198979,573,355.9,10677,5.236,Lukoil,18.63351,18.63350785,,
34,7/31/2020,13,30.65,199429,450,358.9,11000,6.811,Shell Lidl,24.44508,24.44444444,,
35,8/13/2020,10,35,199891,462,359.9,12604,7.576,Shell Lidl,27.26515,27.28138528,,
36,8/23/2020,7,30,200416,525,372.9,11187,5.714,Shell Rakamaz,21.30857,21.30857143,,
